OBJECTID,WI_UNIQUE_WELL_NO,COUNTY_NAME,STUDY_WELL_NO,PLSS_DTRS,PLSS_DESC,Shape__Area,Shape__Length
267,SF651,St. Croix,205,2281823,2328N18W,2617597.15156555,6461.20994514836
268,ML990,Chippewa,102,2320610,1032N06W,2592708.32278442,6463.09417908789
269,UD206,Chippewa,270,2320818,1832N08W,2537026.91444397,6411.55775505992
270,ZX070,Chippewa,442,2310520,2031N05W,2464930.21075439,6326.58904111795
271,AAE051,Chippewa,4,2300723,2330N07W,2574035.53057861,6413.85210683924
272,ZY324,Chippewa,444,2300826,2630N08W,2621653.47569275,6484.58638336207
273,SR199,Chippewa,219,2280502,0228N05W,2613199.71884155,6470.64152777537
274,QZ524,Chippewa,168,2280715,1528N07W,2574352.83666992,6403.82436366395
275,VH587,Chippewa,316,2280926,2628N09W,2582900.98635864,6422.5232147803
276,NG873,Chippewa,121,2281032,3228N10W,2625737.51223755,6480.88077388185
277,UJ509,Chippewa,272,2280726,2628N07W,2571933.29690552,6420.40852678652
278,MQ547,Chippewa,105,2280834,3428N08W,2610538.69946289,6450.01493143784
279,HY928,Door,43,4322821,2132N28E,2670968.16970825,6537.30267894212
280,TE502,Door,234,4292620,2029N26E,2666258.27212524,6568.75614168297
281,VD314,Door,308,4272415,1527N24E,2609926.42172241,6466.9878576445
282,WP380,Door,329,4262332,3226N23E,2598754.03421021,6447.2685670068
283,QM067,Taylor,155,2330317,1733N03W,2628950.10232544,6465.64791332621
284,ML104,Taylor,100,2330420,2033N04W,2591541.58120728,6433.00823031082
285,ZD265,Taylor,426,4320101,0132N01E,2690889.49526978,6470.37021123859
286,ZA877,Taylor,419,2320335,3532N03W,2585404.38885498,6414.4810616922
287,TO644,Taylor,252,4310106,0631N01E,4994290.17010498,9381.32365393133
288,WR589,Taylor,333,2310320,2031N03W,2622945.20751953,6483.04880305396
289,XS419,Taylor,371,4300213,1330N02E,2549569.75068665,6393.48056834839
290,QY963,Oconto,167,4331622,2233N16E,2526325.65353394,6357.59617086568
291,NU170,Oconto,130,4321509,0932N15E,2680414.1552124,6574.10451755204
292,WQ996,Oconto,332,4311730,3031N17E,2902441.3404541,6814.79820258058
293,UU518,Oconto,288,4311636,3631N16E,2525277.03109741,6354.31803995183
294,SD412,Oconto,204,4301932,3230N19E,2567829.46194458,6418.34723428998
295,WL991,Oconto,326,4292124,2429N21E,2611961.17565918,6461.21743364891
296,WV197,Oconto,339,4281730,3028N17E,2313028.00427246,6102.65548905382
297,NC609,Oconto,116,4281927,2728N19E,2586723.15231323,6442.03793928044
298,MV409,Oconto,111,4262036,3626N20E,2621433.56420898,6471.28932239002
299,AAL372,Langlade,16,4341112,1234N11E,2699965.19897461,6558.72711884304
300,KZ003,Langlade,73,4341012,1234N10E,2783214.97650146,6749.9580081111
301,ML891,Langlade,101,4321232,3232N12E,2618575.60549927,6428.64788241073
302,IE344,Langlade,54,4311003,0331N10E,2585193.52819824,6425.36828479115
303,NK040,Langlade,122,4311430,3031N14E,2646913.8046875,6534.1230373992
304,RQ663,Langlade,189,4311128,2831N11E,2625536.44207764,6498.56312750618
305,WX668,Langlade,342,4311436,3631N14E,2584042.05429077,6435.85730197647
306,XN403,Langlade,366,4301105,0530N11E,2939466.35202026,6887.71581292289
307,XZ261,Lincoln,389,4350516,1635N05E,2584213.10876465,6481.81064079636
308,RR035,Lincoln,191,4340403,0334N04E,2552871.7925415,6457.46383673613
